;;Total number of projects;Maximum number of projects in a client country;;Maximum number of projects in a provider country;;;;;;
;;785030;49195;;155501;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Client Country;Provider Country;Number collaborations;Sum number of projects in client country;Percent of maxiumum number of projects in a client country;Sum number of projects in provider country;Percentage of maximum number of projects in client country;Maximum number of collaboration between the client country and a provider country;Percentage of maxium collaborations for client country;Maximum number of collaboration between the provider country and a client country;Percentage of maxium collaborations for client country;
Italy;Saint Vincent and the Grenadines;1;6330;12,9;81;0,05;969;0,1;29;3,45;
Italy;Saudi Arabia;9;6330;12,9;645;0,41;969;0,93;335;2,69;
Italy;Serbia;144;6330;12,9;10957;7,05;969;14,86;5747;2,51;
Italy;Serbia + Montenegro (old);5;6330;12,9;699;0,45;969;0,52;393;1,27;
Italy;Singapore;3;6330;12,9;2154;1,39;969;0,31;1182;0,25;
Italy;Slovakia;7;6330;12,9;631;0,41;969;0,72;306;2,29;
Italy;Slovenia;9;6330;12,9;630;0,41;969;0,93;332;2,71;
Italy;South Africa;42;6330;12,9;2355;1,51;969;4,33;1027;4,09;
Italy;Spain;80;6330;12,9;4028;2,59;969;8,26;1948;4,11;
Italy;Sri Lanka;33;6330;12,9;6306;4,06;969;3,41;2884;1,14;
Italy;Svalbard and Jan Mayen Islands;2;6330;12,9;13;0,01;969;0,21;5;40;
Italy;Sweden;26;6330;12,9;3060;1,97;969;2,68;1468;1,77;
Italy;Switzerland;6;6330;12,9;736;0,47;969;0,62;333;1,8;
Italy;Syrian Arab Republic;16;6330;12,9;360;0,23;969;1,65;137;11,68;
Italy;Tajikistan;1;6330;12,9;48;0,03;969;0,1;36;2,78;
Italy;Thailand;6;6330;12,9;1454;0,94;969;0,62;717;0,84;
Italy;Tunisia;11;6330;12,9;1968;1,27;969;1,14;825;1,33;
Italy;Turkey;63;6330;12,9;4827;3,1;969;6,5;2421;2,6;
Italy;Ukraine;408;6330;12,9;27775;17,86;969;42,11;13875;2,94;
Italy;United Arab Emirates;13;6330;12,9;2335;1,5;969;1,34;1226;1,06;
Italy;United Kingdom;171;6330;12,9;29927;19,25;969;17,65;17797;0,96;
Italy;United States;468;6330;12,9;105420;67,79;969;48,3;80388;0,58;
Italy;Uruguay;5;6330;12,9;1500;0,96;969;0,52;923;0,54;
Italy;Uzbekistan;6;6330;12,9;393;0,25;969;0,62;208;2,88;
Italy;Venezuela;8;6330;12,9;613;0,39;969;0,83;382;2,09;
Italy;Vietnam;104;6330;12,9;9827;6,32;969;10,73;4529;2,3;
Jamaica;Australia;1;143;0,3;9761;6,28;38;2,63;5051;0,02;
Jamaica;Bangladesh;3;143;0,3;17468;11,23;38;7,89;8416;0,04;
Jamaica;Brazil;3;143;0,3;4834;3,11;38;7,89;2612;0,11;
Jamaica;Bulgaria;1;143;0,3;9387;6,04;38;2,63;4695;0,02;
Jamaica;Canada;4;143;0,3;25485;16,39;38;10,53;14440;0,03;
Jamaica;Germany ;1;143;0,3;7974;5,13;38;2,63;3700;0,03;
Jamaica;India;38;143;0,3;155501;100;38;100;80388;0,05;
Jamaica;Ireland;1;143;0,3;925;0,59;38;2,63;477;0,21;
Jamaica;Israel;1;143;0,3;3125;2,01;38;2,63;1688;0,06;
Jamaica;Pakistan;6;143;0,3;72899;46,88;38;15,79;36757;0,02;
Jamaica;Philippines;4;143;0,3;13478;8,67;38;10,53;7059;0,06;
Jamaica;Poland;4;143;0,3;7145;4,59;38;10,53;3520;0,11;
Jamaica;Romania;16;143;0,3;92390;59,41;38;42,11;48482;0,03;
Jamaica;Russian Federation;15;143;0,3;28357;18,24;38;39,47;14718;0,1;
Jamaica;Singapore;1;143;0,3;2154;1,39;38;2,63;1182;0,08;
Jamaica;Turkey;1;143;0,3;4827;3,1;38;2,63;2421;0,04;
Jamaica;Ukraine;6;143;0,3;27775;17,86;38;15,79;13875;0,04;
Jamaica;United Kingdom;1;143;0,3;29927;19,25;38;2,63;14558;0,01;
Jamaica;United States;33;143;0,3;105420;67,79;38;86,84;64074;0,05;
Jamaica;Vietnam;3;143;0,3;9827;6,32;38;7,89;4529;0,07;
Japan;;2;1222;2,5;0;0;199;1,01;1527;0,13;
Japan;Argentina;17;1222;2,5;12720;8,18;199;8,54;6839;0,25;
Japan;Armenia;6;1222;2,5;1985;1,28;199;3,02;1066;0,56;
Japan;Australia;16;1222;2,5;9761;6,28;199;8,04;5051;0,32;
Japan;Austria;3;1222;2,5;602;0,39;199;1,51;279;1,08;
Japan;Azerbaijan;3;1222;2,5;823;0,53;199;1,51;493;0,61;
Japan;Bangladesh;6;1222;2,5;17468;11,23;199;3,02;8416;0,07;
Japan;Belarus ;10;1222;2,5;3044;1,96;199;5,03;1391;0,72;
Japan;Belgium ;6;1222;2,5;1653;1,06;199;3,02;842;0,71;
Japan;Bosnia and Herzegowina;2;1222;2,5;1563;1,01;199;1,01;82;2,44;
Japan;Brazil;13;1222;2,5;4834;3,11;199;6,53;2612;0,5;
Japan;Bulgaria;8;1222;2,5;9387;6,04;199;4,02;4695;0,17;
Japan;Canada;47;1222;2,5;25485;16,39;199;23,62;14440;0,33;
Japan;China;9;1222;2,5;7801;5,02;199;4,52;3871;0,23;
Japan;Croatia;3;1222;2,5;2778;1,79;199;1,51;1364;0,22;
Japan;Czech Republic;2;1222;2,5;1181;0,76;199;1,01;692;0,29;
Japan;Denmark;3;1222;2,5;702;0,45;199;1,51;329;0,91;
Japan;Dominican Republic;1;1222;2,5;752;0,48;199;0,5;412;0,24;
Japan;Ecuador;3;1222;2,5;790;0,51;199;1,51;459;0,65;
Japan;Egypt;18;1222;2,5;17182;11,05;199;9,05;8809;0,2;
Japan;Estonia;5;1222;2,5;800;0,51;199;2,51;438;1,14;
Japan;Ethiopia;3;1222;2,5;84;0,05;199;1,51;48;6,25;
Japan;Former Yugoslav Republic Of Macedonia;1;1222;2,5;1198;0,77;199;0,5;624;0,16;
Japan;France;2;1222;2,5;3513;2,26;199;1,01;1601;0,12;
Japan;Georgia;1;1222;2,5;503;0,32;199;0,5;258;0,39;
Japan;Germany ;9;1222;2,5;7974;5,13;199;4,52;3700;0,24;
Japan;Greece;4;1222;2,5;1848;1,19;199;2,01;844;0,47;
Japan;Hungary;6;1222;2,5;1694;1,09;199;3,02;775;0,77;
Japan;India;199;1222;2,5;155501;100;199;100;80388;0,25;
Japan;Indonesia;16;1222;2,5;7742;4,98;199;8,04;4116;0,39;
Japan;Israel;5;1222;2,5;3125;2,01;199;2,51;1688;0,3;
Japan;Italy;4;1222;2,5;3404;2,19;199;2,01;1452;0,28;
Japan;Japan;5;1222;2,5;705;0,45;199;2,51;359;1,39;
Japan;Kenya;5;1222;2,5;1637;1,05;199;2,51;818;0,61;
Japan;Kyrgyzstan;1;1222;2,5;1521;0,98;199;0,5;821;0,12;
Japan;Latvia;1;1222;2,5;655;0,42;199;0,5;255;0,39;
Japan;Lebanon;1;1222;2,5;1029;0,66;199;0,5;544;0,18;
Japan;Lithuania;2;1222;2,5;1867;1,2;199;1,01;958;0,21;
Japan;Malaysia;2;1222;2,5;3160;2,03;199;1,01;1760;0,11;
Japan;Mexico;8;1222;2,5;3465;2,23;199;4,02;1732;0,46;
Japan;Moldova;8;1222;2,5;3146;2,02;199;4,02;1541;0,52;
Japan;Morocco;2;1222;2,5;1112;0,72;199;1,01;517;0,39;
Japan;Netherlands;3;1222;2,5;3487;2,24;199;1,51;1975;0,15;
Japan;New Zealand;3;1222;2,5;1482;0,95;199;1,51;774;0,39;
Japan;Nicaragua;1;1222;2,5;33;0,02;199;0,5;10;10;
Japan;Nigeria;1;1222;2,5;909;0,58;199;0,5;444;0,23;
Japan;Norway;1;1222;2,5;779;0,5;199;0,5;348;0,29;
Japan;Pakistan;82;1222;2,5;72899;46,88;199;41,21;36757;0,22;
Japan;Philippines;19;1222;2,5;13478;8,67;199;9,55;7059;0,27;
Japan;Poland;12;1222;2,5;7145;4,59;199;6,03;3520;0,34;
Japan;Portugal;8;1222;2,5;2963;1,91;199;4,02;1682;0,48;
Japan;Romania;139;1222;2,5;92390;59,41;199;69,85;48482;0,29;
Japan;Russian Federation;136;1222;2,5;28357;18,24;199;68,34;14718;0,92;
Japan;Serbia;26;1222;2,5;10957;7,05;199;13,07;5747;0,45;
Japan;Serbia + Montenegro (old);1;1222;2,5;699;0,45;199;0,5;393;0,25;
Japan;Singapore;2;1222;2,5;2154;1,39;199;1,01;1182;0,17;
Japan;Slovenia;1;1222;2,5;630;0,41;199;0,5;332;0,3;
Japan;South Africa;3;1222;2,5;2355;1,51;199;1,51;1027;0,29;
Japan;Spain;6;1222;2,5;4028;2,59;199;3,02;1948;0,31;
Japan;Sri Lanka;7;1222;2,5;6306;4,06;199;3,52;2884;0,24;
Japan;Sweden;2;1222;2,5;3060;1,97;199;1,01;1468;0,14;
Japan;Syrian Arab Republic;1;1222;2,5;360;0,23;199;0,5;137;0,73;
Japan;Taiwan;6;1222;2,5;129;0,08;199;3,02;61;9,84;
Japan;Tunisia;40;1222;2,5;1968;1,27;199;20,1;825;4,85;
Japan;Turkey;6;1222;2,5;4827;3,1;199;3,02;2421;0,25;
Japan;Ukraine;59;1222;2,5;27775;17,86;199;29,65;13875;0,43;
Japan;United Arab Emirates;1;1222;2,5;2335;1,5;199;0,5;1226;0,08;
Japan;United Kingdom;31;1222;2,5;29927;19,25;199;15,58;14558;0,21;
Japan;United States;138;1222;2,5;105420;67,79;199;69,35;64074;0,22;
Japan;Uruguay;1;1222;2,5;1500;0,96;199;0,5;923;0,11;
Japan;Vietnam;18;1222;2,5;9827;6,32;199;9,05;4529;0,4;
Jordan;Albania ;1;580;1,2;68;0,04;123;0,81;37;2,7;
Jordan;Algeria;1;580;1,2;202;0,13;123;0,81;89;1,12;
Jordan;Argentina;2;580;1,2;12720;8,18;123;1,63;6839;0,03;
Jordan;Australia;5;580;1,2;9761;6,28;123;4,07;5051;0,1;
Jordan;Bahrain;1;580;1,2;29;0,02;123;0,81;18;5,56;
Jordan;Bangladesh;22;580;1,2;17468;11,23;123;17,89;171;12,87;
Jordan;Belarus ;1;580;1,2;3044;1,96;123;0,81;24;4,17;
Jordan;Belgium ;4;580;1,2;1653;1,06;123;3,25;853;0,47;
Jordan;Bosnia and Herzegowina;2;580;1,2;1563;1,01;123;1,63;800;0,25;
Jordan;Bulgaria;5;580;1,2;9387;6,04;123;4,07;4695;0,11;
Jordan;Canada;12;580;1,2;25485;16,39;123;9,76;14440;0,08;
Jordan;China;6;580;1,2;7801;5,02;123;4,88;3871;0,15;
Jordan;Denmark;2;580;1,2;702;0,45;123;1,63;329;0,61;
Jordan;Dominican Republic;2;580;1,2;752;0,48;123;1,63;412;0,49;
Jordan;Ecuador;1;580;1,2;790;0,51;123;0,81;459;0,22;
Jordan;Egypt;16;580;1,2;17182;11,05;123;13,01;8809;0,18;
Jordan;France;5;580;1,2;3513;2,26;123;4,07;1601;0,31;
Jordan;Germany ;28;580;1,2;7974;5,13;123;22,76;3700;0,76;
Jordan;Hong Kong;2;580;1,2;671;0,43;123;1,63;418;0,48;
Jordan;Hungary;2;580;1,2;1694;1,09;123;1,63;775;0,26;
Jordan;India;99;580;1,2;155501;100;123;80,49;80388;0,12;
Jordan;Indonesia;4;580;1,2;7742;4,98;123;3,25;4116;0,1;
Jordan;Ireland;2;580;1,2;925;0,59;123;1,63;477;0,42;
Jordan;Israel;1;580;1,2;3125;2,01;123;0,81;1688;0,06;
Jordan;Italy;2;580;1,2;3404;2,19;123;1,63;1452;0,14;
Jordan;Japan;1;580;1,2;705;0,45;123;0,81;359;0,28;
Jordan;Jordan;5;580;1,2;864;0,56;123;4,07;438;1,14;
Jordan;Kazakhstan;1;580;1,2;253;0,16;123;0,81;147;0,68;
Jordan;Kuwait;1;580;1,2;45;0,03;123;0,81;15;6,67;
Jordan;Kyrgyzstan;1;580;1,2;1521;0,98;123;0,81;821;0,12;
Jordan;Latvia;5;580;1,2;655;0,42;123;4,07;255;1,96;
Jordan;Lithuania;1;580;1,2;1867;1,2;123;0,81;958;0,1;
Jordan;Madagascar;1;580;1,2;63;0,04;123;0,81;34;2,94;
Jordan;Moldova;2;580;1,2;3146;2,02;123;1,63;1541;0,13;
Jordan;Nepal;3;580;1,2;1861;1,2;123;2,44;1018;0,29;
Jordan;Netherlands;12;580;1,2;3487;2,24;123;9,76;1579;0,76;
Jordan;New Zealand;1;580;1,2;1482;0,95;123;0,81;827;0,12;
Jordan;Nigeria;1;580;1,2;909;0,58;123;0,81;444;0,23;
Jordan;Pakistan;123;580;1,2;72899;46,88;123;100;36757;0,33;
Jordan;Peru;1;580;1,2;919;0,59;123;0,81;49;2,04;
Jordan;Philippines;15;580;1,2;13478;8,67;123;12,2;203;7,39;
Jordan;Poland;3;580;1,2;7145;4,59;123;2,44;3520;0,09;
Jordan;Romania;61;580;1,2;92390;59,41;123;49,59;48482;0,13;
Jordan;Russian Federation;14;580;1,2;28357;18,24;123;11,38;14718;0,1;
Jordan;Saudi Arabia;2;580;1,2;645;0,41;123;1,63;335;0,6;
Jordan;Serbia;1;580;1,2;10957;7,05;123;0,81;5747;0,02;
Jordan;Singapore;1;580;1,2;2154;1,39;123;0,81;1182;0,08;
Jordan;Spain;3;580;1,2;4028;2,59;123;2,44;1948;0,15;
Jordan;Sri Lanka;10;580;1,2;6306;4,06;123;8,13;2884;0,35;
Jordan;Sweden;1;580;1,2;3060;1,97;123;0,81;1468;0,07;
Jordan;Thailand;3;580;1,2;1454;0,94;123;2,44;717;0,42;
Jordan;Turkey;3;580;1,2;4827;3,1;123;2,44;2421;0,12;
Jordan;Ukraine;14;580;1,2;27775;17,86;123;11,38;13875;0,1;
Jordan;United Arab Emirates;1;580;1,2;2335;1,5;123;0,81;1226;0,08;
Jordan;United Kingdom;9;580;1,2;29927;19,25;123;7,32;14558;0,06;
Jordan;United States;35;580;1,2;105420;67,79;123;28,46;64074;0,05;
Jordan;Venezuela;1;580;1,2;613;0,39;123;0,81;382;0,26;
Jordan;Vietnam;16;580;1,2;9827;6,32;123;13,01;4529;0,35;
Kazakhstan;India;20;21;0;155501;100;20;100;80388;0,02;
Kazakhstan;United Kingdom;1;21;0;29927;19,25;20;5;14558;0,01;
Kenya;Argentina;1;178;0,4;12720;8,18;37;2,7;6839;0,01;
Kenya;Australia;1;178;0,4;9761;6,28;37;2,7;5051;0,02;
Kenya;Bangladesh;3;178;0,4;17468;11,23;37;8,11;8416;0,04;
Kenya;Brazil;1;178;0,4;4834;3,11;37;2,7;2612;0,04;
Kenya;Bulgaria;2;178;0,4;9387;6,04;37;5,41;4695;0,04;
Kenya;Canada;2;178;0,4;25485;16,39;37;5,41;14440;0,01;
Kenya;China;2;178;0,4;7801;5,02;37;5,41;3871;0,05;
Kenya;Croatia;1;178;0,4;2778;1,79;37;2,7;1364;0,07;
Kenya;Egypt;4;178;0,4;17182;11,05;37;10,81;8809;0,05;
Kenya;France;4;178;0,4;3513;2,26;37;10,81;1601;0,25;
Kenya;Hungary;2;178;0,4;1694;1,09;37;5,41;775;0,26;
Kenya;India;37;178;0,4;155501;100;37;100;80388;0,05;
Kenya;Israel;6;178;0,4;3125;2,01;37;16,22;1688;0,36;
Kenya;Kuwait;1;178;0,4;45;0,03;37;2,7;122;0,82;
Kenya;Malaysia;2;178;0,4;3160;2,03;37;5,41;998;0,2;
Kenya;Mozambique;1;178;0,4;24;0,02;37;2,7;10;10;
Kenya;Netherlands;1;178;0,4;3487;2,24;37;2,7;1579;0,06;
Kenya;New Zealand;1;178;0,4;1482;0,95;37;2,7;827;0,12;
Kenya;Pakistan;37;178;0,4;72899;46,88;37;100;36757;0,1;
Kenya;Philippines;2;178;0,4;13478;8,67;37;5,41;7059;0,03;
Kenya;Portugal;1;178;0,4;2963;1,91;37;2,7;1682;0,06;
Kenya;Romania;8;178;0,4;92390;59,41;37;21,62;48482;0,02;
Kenya;Russian Federation;2;178;0,4;28357;18,24;37;5,41;14718;0,01;
Kenya;Serbia;2;178;0,4;10957;7,05;37;5,41;5747;0,03;
Kenya;Singapore;2;178;0,4;2154;1,39;37;5,41;1182;0,17;
Kenya;Sri Lanka;3;178;0,4;6306;4,06;37;8,11;2884;0,1;
Kenya;Switzerland;1;178;0,4;736;0,47;37;2,7;333;0,3;
Kenya;Thailand;1;178;0,4;1454;0,94;37;2,7;717;0,14;
Kenya;Ukraine;5;178;0,4;27775;17,86;37;13,51;13875;0,04;
Kenya;United Kingdom;6;178;0,4;29927;19,25;37;16,22;14558;0,04;
Kenya;United States;6;178;0,4;105420;67,79;37;16,22;64074;0,01;
Kenya;Venezuela;1;178;0,4;613;0,39;37;2,7;382;0,26;
Kenya;Vietnam;29;178;0,4;9827;6,32;37;78,38;4529;0,64;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);5;124;0,3;124;0,08;33;15,15;33;15,15;
Korea; Republic of (south);2;124;0,3;124;0,08;33;6,06;33;6,06;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);3;124;0,3;124;0,08;33;9,09;33;9,09;
Korea; Republic of (south);2;124;0,3;124;0,08;33;6,06;33;6,06;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);33;124;0,3;124;0,08;33;100;33;100;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;33;3,03;
Korea; Republic of (south);1;124;0,3;124;0,08;33;3,03;0;#DIV/0!;
Korea; Republic of (south);6;124;0,3;124;0,08;33;18,18;0;#DIV/0!;
Korea; Republic of (south);8;124;0,3;124;0,08;33;24,24;33;24,24;
Korea; Republic of (south);14;124;0,3;124;0,08;33;42,42;33;42,42;
Korea; Republic of (south);9;124;0,3;124;0,08;33;27,27;33;27,27;
Korea; Republic of (south);4;124;0,3;124;0,08;33;12,12;33;12,12;
Korea; Republic of (south);13;124;0,3;124;0,08;33;39,39;33;39,39;
Korea; Republic of (south);6;124;0,3;124;0,08;33;18,18;33;18,18;
Korea; Republic of (south);9;124;0,3;124;0,08;33;27,27;33;27,27;
Kuwait;;1;443;0,9;0;0;122;0,82;1527;0,07;
Kuwait;Argentina;2;443;0,9;12720;8,18;122;1,64;6839;0,03;
Kuwait;Australia;2;443;0,9;9761;6,28;122;1,64;5051;0,04;
Kuwait;Bangladesh;6;443;0,9;17468;11,23;122;4,92;8416;0,07;
Kuwait;Belarus ;6;443;0,9;3044;1,96;122;4,92;1391;0,43;
Kuwait;Belgium ;1;443;0,9;1653;1,06;122;0,82;853;0,12;
Kuwait;Brazil;1;443;0,9;4834;3,11;122;0,82;2612;0,04;
Kuwait;Bulgaria;5;443;0,9;9387;6,04;122;4,1;4695;0,11;
Kuwait;Canada;13;443;0,9;25485;16,39;122;10,66;14440;0,09;
Kuwait;China;19;443;0,9;7801;5,02;122;15,57;3871;0,49;
Kuwait;Denmark;1;443;0,9;702;0,45;122;0,82;329;0,3;
Kuwait;Ecuador;1;443;0,9;790;0,51;122;0,82;459;0,22;
Kuwait;Egypt;12;443;0,9;17182;11,05;122;9,84;8809;0,14;
Kuwait;Former Yugoslav Republic Of Macedonia;2;443;0,9;1198;0,77;122;1,64;624;0,32;
Kuwait;Germany ;6;443;0,9;7974;5,13;122;4,92;3700;0,16;
Kuwait;India;122;443;0,9;155501;100;122;100;80388;0,15;
Kuwait;Israel;2;443;0,9;3125;2,01;122;1,64;1688;0,12;
Kuwait;Italy;2;443;0,9;3404;2,19;122;1,64;1452;0,14;
Kuwait;Jordan;3;443;0,9;864;0,56;122;2,46;438;0,68;
Kuwait;Kenya;2;443;0,9;1637;1,05;122;1,64;818;0,24;
Kuwait;Latvia;1;443;0,9;655;0,42;122;0,82;255;0,39;
Kuwait;Malaysia;7;443;0,9;3160;2,03;122;5,74;1760;0,4;
Kuwait;Morocco;3;443;0,9;1112;0,72;122;2,46;517;0,58;
Kuwait;Nepal;1;443;0,9;1861;1,2;122;0,82;1018;0,1;
Kuwait;Pakistan;66;443;0,9;72899;46,88;122;54,1;36757;0,18;
Kuwait;Philippines;2;443;0,9;13478;8,67;122;1,64;203;0,99;
Kuwait;Poland;3;443;0,9;7145;4,59;122;2,46;335;0,9;
Kuwait;Romania;46;443;0,9;92390;59,41;122;37,7;48482;0,09;
Kuwait;Russian Federation;8;443;0,9;28357;18,24;122;6,56;14718;0,05;
Kuwait;Serbia;4;443;0,9;10957;7,05;122;3,28;5747;0,07;
Kuwait;Spain;4;443;0,9;4028;2,59;122;3,28;1948;0,21;
Kuwait;Sri Lanka;4;443;0,9;6306;4,06;122;3,28;2884;0,14;
Kuwait;Sweden;1;443;0,9;3060;1,97;122;0,82;1468;0,07;
Kuwait;Syrian Arab Republic;2;443;0,9;360;0,23;122;1,64;137;1,46;
Kuwait;Turkey;7;443;0,9;4827;3,1;122;5,74;2421;0,29;
Kuwait;Ukraine;16;443;0,9;27775;17,86;122;13,11;13875;0,12;
Kuwait;United Arab Emirates;2;443;0,9;2335;1,5;122;1,64;1226;0,16;
Kuwait;United Kingdom;5;443;0,9;29927;19,25;122;4,1;14558;0,03;
Kuwait;United States;48;443;0,9;105420;67,79;122;39,34;64074;0,07;
Kuwait;Vietnam;4;443;0,9;9827;6,32;122;3,28;4529;0,09;
Kyrgyzstan;Bangladesh;1;37;0,1;17468;11,23;11;9,09;8416;0,01;
Kyrgyzstan;India;8;37;0,1;155501;100;11;72,73;80388;0,01;
Kyrgyzstan;Pakistan;1;37;0,1;72899;46,88;11;9,09;36757;0;
Kyrgyzstan;Romania;2;37;0,1;92390;59,41;11;18,18;48482;0;
Kyrgyzstan;Sri Lanka;5;37;0,1;6306;4,06;11;45,45;2884;0,17;
Kyrgyzstan;United Kingdom;11;37;0,1;29927;19,25;11;100;14558;0,08;
Kyrgyzstan;United States;9;37;0,1;105420;67,79;11;81,82;64074;0,01;
Laos (Lao People's Democratic Republic);Bangladesh;4;14;0;17468;11,23;4;100;8416;0,05;
Laos (Lao People's Democratic Republic);Egypt;1;14;0;17182;11,05;4;25;8809;0,01;
Laos (Lao People's Democratic Republic);Italy;1;14;0;3404;2,19;4;25;1452;0,07;
Laos (Lao People's Democratic Republic);Jordan;1;14;0;864;0,56;4;25;438;0,23;
Laos (Lao People's Democratic Republic);Romania;4;14;0;92390;59,41;4;100;48482;0,01;
Laos (Lao People's Democratic Republic);Russian Federation;2;14;0;28357;18,24;4;50;14718;0,01;
Laos (Lao People's Democratic Republic);Ukraine;1;14;0;27775;17,86;4;25;13875;0,01;
Latvia;;1;79;0,2;0;0;22;4,55;1527;0,07;
Latvia;Aruba;1;79;0,2;29;0,02;22;4,55;15;6,67;
Latvia;Belgium ;1;79;0,2;1653;1,06;22;4,55;853;0,12;
Latvia;Canada;2;79;0,2;25485;16,39;22;9,09;14440;0,01;
Latvia;Egypt;3;79;0,2;17182;11,05;22;13,64;8809;0,03;
Latvia;India;22;79;0,2;155501;100;22;100;4603;0,48;
Latvia;Italy;1;79;0,2;3404;2,19;22;4,55;969;0,1;
Latvia;Latvia;1;79;0,2;655;0,42;22;4,55;255;0,39;
Latvia;Lebanon;1;79;0,2;1029;0,66;22;4,55;544;0,18;
Latvia;Nigeria;1;79;0,2;909;0,58;22;4,55;444;0,23;
Latvia;Pakistan;6;79;0,2;72899;46,88;22;27,27;36757;0,02;
Latvia;Palestine;1;79;0,2;206;0,13;22;4,55;104;0,96;
Latvia;Poland;1;79;0,2;7145;4,59;22;4,55;3520;0,03;
Latvia;Romania;3;79;0,2;92390;59,41;22;13,64;48482;0,01;
Latvia;Russian Federation;10;79;0,2;28357;18,24;22;45,45;14718;0,07;
Latvia;Serbia;2;79;0,2;10957;7,05;22;9,09;5747;0,03;
Latvia;Sri Lanka;1;79;0,2;6306;4,06;22;4,55;2884;0,03;
Latvia;Thailand;1;79;0,2;1454;0,94;22;4,55;717;0,14;
Latvia;Turkey;1;79;0,2;4827;3,1;22;4,55;2421;0,04;
Latvia;Ukraine;9;79;0,2;27775;17,86;22;40,91;13875;0,06;
Latvia;United Kingdom;2;79;0,2;29927;19,25;22;9,09;14558;0,01;
Latvia;United States;8;79;0,2;105420;67,79;22;36,36;64074;0,01;
Lebanon;Afghanistan;1;580;1,2;41;0,03;131;0,76;16;6,25;
Lebanon;Argentina;8;580;1,2;12720;8,18;131;6,11;6839;0,12;
Lebanon;Australia;5;580;1,2;9761;6,28;131;3,82;5051;0,1;
Lebanon;Bangladesh;20;580;1,2;17468;11,23;131;15,27;8416;0,24;
Lebanon;Belarus ;3;580;1,2;3044;1,96;131;2,29;1391;0,22;
Lebanon;Bosnia and Herzegowina;3;580;1,2;1563;1,01;131;2,29;800;0,38;
Lebanon;Canada;23;580;1,2;25485;16,39;131;17,56;14440;0,16;
Lebanon;China;5;580;1,2;7801;5,02;131;3,82;3871;0,13;
Lebanon;Ecuador;1;580;1,2;790;0,51;131;0,76;459;0,22;
Lebanon;Egypt;16;580;1,2;17182;11,05;131;12,21;8809;0,18;
Lebanon;Fiji;1;580;1,2;228;0,15;131;0,76;94;1,06;
Lebanon;France;8;580;1,2;3513;2,26;131;6,11;1601;0,5;
Lebanon;Germany ;19;580;1,2;7974;5,13;131;14,5;3700;0,51;
Lebanon;Greece;1;580;1,2;1848;1,19;131;0,76;844;0,12;
Lebanon;Hungary;1;580;1,2;1694;1,09;131;0,76;775;0,13;
Lebanon;India;131;580;1,2;155501;100;131;100;80388;0,16;
Lebanon;Indonesia;3;580;1,2;7742;4,98;131;2,29;4116;0,07;
Lebanon;Ireland;1;580;1,2;925;0,59;131;0,76;1318;0,08;
Lebanon;Israel;1;580;1,2;3125;2,01;131;0,76;1470;0,07;
Lebanon;Italy;2;580;1,2;3404;2,19;131;1,53;1452;0,14;
Lebanon;Jordan;5;580;1,2;864;0,56;131;3,82;438;1,14;
Lebanon;Lebanon;7;580;1,2;1029;0,66;131;5,34;544;1,29;
Lebanon;Malaysia;7;580;1,2;3160;2,03;131;5,34;1760;0,4;
Lebanon;Mexico;1;580;1,2;3465;2,23;131;0,76;1732;0,06;
Lebanon;Moldova;4;580;1,2;3146;2,02;131;3,05;1541;0,26;
Lebanon;Morocco;4;580;1,2;1112;0,72;131;3,05;517;0,77;
Lebanon;Nepal;1;580;1,2;1861;1,2;131;0,76;1018;0,1;
Lebanon;Netherlands;1;580;1,2;3487;2,24;131;0,76;1579;0,06;
Lebanon;Nigeria;5;580;1,2;909;0,58;131;3,82;444;1,13;
Lebanon;Norway;1;580;1,2;779;0,5;131;0,76;348;0,29;
Lebanon;Pakistan;66;580;1,2;72899;46,88;131;50,38;36757;0,18;
Lebanon;Palestine;1;580;1,2;206;0,13;131;0,76;104;0,96;
Lebanon;Philippines;9;580;1,2;13478;8,67;131;6,87;7059;0,13;
Lebanon;Poland;1;580;1,2;7145;4,59;131;0,76;3520;0,03;
Lebanon;Portugal;1;580;1,2;2963;1,91;131;0,76;1682;0,06;
Lebanon;Qatar;1;580;1,2;374;0,24;131;0,76;257;0,39;
Lebanon;Romania;41;580;1,2;92390;59,41;131;31,3;48482;0,08;
Lebanon;Russian Federation;15;580;1,2;28357;18,24;131;11,45;14718;0,1;
Lebanon;Serbia;2;580;1,2;10957;7,05;131;1,53;5747;0,03;
Lebanon;Spain;2;580;1,2;4028;2,59;131;1,53;1948;0,1;
